"SurveyResponseID","AnswerNumber","CycleOwnership"
3584518,81,"Take your own bike to NZ"
3584603,63,"Take your own bike to NZ"
3584658,84,"Take your own bike to NZ"
3585059,83,"Take your own bike to NZ"
3585091,61,"Take your own bike to NZ"
3585116,84,"Take your own bike to NZ"
3585632,84,"Take your own bike to NZ"
3587024,68,"Take your own bike to NZ"
3587619,61,"Take your own bike to NZ"
3587658,62,"Take your own bike to NZ"
3587747,71,"Take your own bike to NZ"
3587770,74,"Take your own bike to NZ"
3591512,84,"Take your own bike to NZ"
3591633,65,"Take your own bike to NZ"
3591641,58,"Take your own bike to NZ"
3592393,77,"Take your own bike to NZ"
3592408,78,"Take your own bike to NZ"
3590675,105,"Take your own bike to NZ"
3590707,60,"Take your own bike to NZ"
3591111,56,"Take your own bike to NZ"
3591127,54,"Take your own bike to NZ"
3591180,68,"Take your own bike to NZ"
3591175,53,"Take your own bike to NZ"
3591329,64,"Take your own bike to NZ"
3591755,84,"Take your own bike to NZ"
3591939,77,"Take your own bike to NZ"
3592452,57,"Take your own bike to NZ"
3592464,62,"Take your own bike to NZ"
3592488,72,"Take your own bike to NZ"
3592498,76,"Take your own bike to NZ"
3592536,71,"Take your own bike to NZ"
3592513,59,"Take your own bike to NZ"
3592575,107,"Take your own bike to NZ"
3592581,72,"Take your own bike to NZ"
3592593,73,"Take your own bike to NZ"
3592585,75,"Take your own bike to NZ"
3592637,77,"Take your own bike to NZ"
3592645,65,"Take your own bike to NZ"
3592661,72,"Take your own bike to NZ"
3592683,69,"Take your own bike to NZ"
3592833,71,"Take your own bike to NZ"
3592750,76,"Take your own bike to NZ"
3592891,78,"Take your own bike to NZ"
3592911,74,"Take your own bike to NZ"
3592948,62,"Take your own bike to NZ"
3592968,63,"Take your own bike to NZ"
3592986,77,"Take your own bike to NZ"
3592981,78,"Take your own bike to NZ"
3593111,75,"Take your own bike to NZ"
3593147,75,"Take your own bike to NZ"
3593168,62,"Take your own bike to NZ"
3593229,75,"Take your own bike to NZ"
3593260,76,"Take your own bike to NZ"
3593341,63,"Take your own bike to NZ"
3593374,73,"Take your own bike to NZ"
3593394,74,"Take your own bike to NZ"
3593395,75,"Take your own bike to NZ"
3593401,64,"Take your own bike to NZ"
3593439,80,"Take your own bike to NZ"
3593508,68,"Take your own bike to NZ"
3593593,75,"Take your own bike to NZ"
3593566,85,"Take your own bike to NZ"
3593659,63,"Take your own bike to NZ"
3593666,57,"Take your own bike to NZ"
3593670,79,"Take your own bike to NZ"
3593662,66,"Take your own bike to NZ"
3593709,72,"Take your own bike to NZ"
3593716,62,"Take your own bike to NZ"
3593777,80,"Take your own bike to NZ"
3593790,76,"Take your own bike to NZ"
3593810,59,"Take your own bike to NZ"
3593867,88,"Take your own bike to NZ"
3593861,64,"Take your own bike to NZ"
3593900,80,"Take your own bike to NZ"
3593920,68,"Take your own bike to NZ"
3593915,66,"Take your own bike to NZ"
3593916,79,"Take your own bike to NZ"
3594053,78,"Take your own bike to NZ"
3594071,64,"Take your own bike to NZ"
3594108,73,"Take your own bike to NZ"
3594114,71,"Take your own bike to NZ"
3594115,70,"Take your own bike to NZ"
3594160,81,"Take your own bike to NZ"
3594126,65,"Take your own bike to NZ"
3594227,70,"Take your own bike to NZ"
3594250,82,"Take your own bike to NZ"
3594251,66,"Take your own bike to NZ"
3594242,58,"Take your own bike to NZ"
3594268,61,"Take your own bike to NZ"
3594274,69,"Take your own bike to NZ"
3594276,64,"Take your own bike to NZ"
3594293,76,"Take your own bike to NZ"
3594308,61,"Take your own bike to NZ"
3594331,72,"Take your own bike to NZ"
3594345,64,"Take your own bike to NZ"
3594404,70,"Take your own bike to NZ"
3594432,68,"Take your own bike to NZ"
3594509,74,"Take your own bike to NZ"
3594486,68,"Take your own bike to NZ"
3594524,63,"Take your own bike to NZ"
3594538,73,"Take your own bike to NZ"
3594571,75,"Take your own bike to NZ"
3594628,65,"Take your own bike to NZ"
3594665,70,"Take your own bike to NZ"
3594672,68,"Take your own bike to NZ"
3594736,71,"Take your own bike to NZ"
3594740,66,"Take your own bike to NZ"
3594832,70,"Take your own bike to NZ"
3594901,85,"Take your own bike to NZ"
3594871,73,"Take your own bike to NZ"
3594934,77,"Take your own bike to NZ"
3594959,77,"Take your own bike to NZ"
3594951,63,"Take your own bike to NZ"
3594983,78,"Take your own bike to NZ"
3594990,75,"Take your own bike to NZ"
3595008,62,"Take your own bike to NZ"
3595034,61,"Take your own bike to NZ"
3595075,63,"Take your own bike to NZ"
3595090,70,"Take your own bike to NZ"
3595099,78,"Take your own bike to NZ"
3595134,63,"Take your own bike to NZ"
3595117,70,"Take your own bike to NZ"
3595178,72,"Take your own bike to NZ"
3595184,69,"Take your own bike to NZ"
3595192,66,"Take your own bike to NZ"
3595247,69,"Take your own bike to NZ"
3595259,68,"Take your own bike to NZ"
3595266,64,"Take your own bike to NZ"
3595285,72,"Take your own bike to NZ"
3595326,63,"Take your own bike to NZ"
3595372,64,"Take your own bike to NZ"
3595384,69,"Take your own bike to NZ"
3595401,73,"Take your own bike to NZ"
3595484,77,"Take your own bike to NZ"
3595473,72,"Take your own bike to NZ"
3595512,61,"Take your own bike to NZ"
3595513,74,"Take your own bike to NZ"
3595532,79,"Take your own bike to NZ"
3595549,76,"Take your own bike to NZ"
3595564,68,"Take your own bike to NZ"
3595626,63,"Take your own bike to NZ"
3595634,70,"Take your own bike to NZ"
3596134,65,"Take your own bike to NZ"
3596273,82,"Take your own bike to NZ"
3596395,71,"Take your own bike to NZ"
3596411,70,"Take your own bike to NZ"
3596469,75,"Take your own bike to NZ"
3597216,73,"Take your own bike to NZ"
3597274,68,"Take your own bike to NZ"
3597408,63,"Take your own bike to NZ"
3597650,54,"Take your own bike to NZ"
3597654,62,"Take your own bike to NZ"
3597747,54,"Take your own bike to NZ"
3597868,84,"Take your own bike to NZ"
3597950,79,"Take your own bike to NZ"
3597958,80,"Take your own bike to NZ"
3597998,65,"Take your own bike to NZ"
3598057,69,"Take your own bike to NZ"
3598140,70,"Take your own bike to NZ"
3598597,63,"Take your own bike to NZ"
3598673,59,"Take your own bike to NZ"
3598739,63,"Take your own bike to NZ"
3598842,71,"Take your own bike to NZ"
3598844,81,"Take your own bike to NZ"
3598849,93,"Take your own bike to NZ"
3598874,63,"Take your own bike to NZ"
3598907,83,"Take your own bike to NZ"
3599013,70,"Take your own bike to NZ"
3599030,61,"Take your own bike to NZ"
3599059,62,"Take your own bike to NZ"
3599066,75,"Take your own bike to NZ"
3599085,73,"Take your own bike to NZ"
3599091,65,"Take your own bike to NZ"
3599094,75,"Take your own bike to NZ"
3599113,57,"Take your own bike to NZ"
3599151,73,"Take your own bike to NZ"
3599161,56,"Take your own bike to NZ"
3599172,85,"Take your own bike to NZ"
3599181,74,"Take your own bike to NZ"
3599185,73,"Take your own bike to NZ"
3599222,71,"Take your own bike to NZ"
3599238,71,"Take your own bike to NZ"
3599272,74,"Take your own bike to NZ"
3599277,70,"Take your own bike to NZ"
3599280,75,"Take your own bike to NZ"
3599291,80,"Take your own bike to NZ"
3599295,70,"Take your own bike to NZ"
3599466,73,"Take your own bike to NZ"
3599479,71,"Take your own bike to NZ"
3599484,70,"Take your own bike to NZ"
3599489,70,"Take your own bike to NZ"
3599492,64,"Take your own bike to NZ"
3599509,70,"Take your own bike to NZ"
3599544,66,"Take your own bike to NZ"
3599546,67,"Take your own bike to NZ"
3599577,76,"Take your own bike to NZ"
3599579,61,"Take your own bike to NZ"
3599587,73,"Take your own bike to NZ"
3599588,72,"Take your own bike to NZ"
3599623,74,"Take your own bike to NZ"
3599640,66,"Take your own bike to NZ"
3599649,79,"Take your own bike to NZ"
3599653,69,"Take your own bike to NZ"
3600223,93,"Take your own bike to NZ"
3600743,95,"Take your own bike to NZ"
3600826,68,"Take your own bike to NZ"
3601114,95,"Take your own bike to NZ"
3601254,63,"Take your own bike to NZ"
3601258,76,"Take your own bike to NZ"
3601298,69,"Take your own bike to NZ"
3601314,87,"Take your own bike to NZ"
3601337,65,"Take your own bike to NZ"
3601346,68,"Take your own bike to NZ"
3601380,81,"Take your own bike to NZ"
3601398,63,"Take your own bike to NZ"
3601447,67,"Take your own bike to NZ"
3601459,72,"Take your own bike to NZ"
3601510,62,"Take your own bike to NZ"
3601543,74,"Take your own bike to NZ"
3601549,68,"Take your own bike to NZ"
3601560,68,"Take your own bike to NZ"
3601576,68,"Take your own bike to NZ"
3601582,64,"Take your own bike to NZ"
3601596,64,"Take your own bike to NZ"
3601597,62,"Take your own bike to NZ"
3601609,73,"Take your own bike to NZ"
3601632,68,"Take your own bike to NZ"
3601637,69,"Take your own bike to NZ"
3601660,64,"Take your own bike to NZ"
3601664,67,"Take your own bike to NZ"
3601665,69,"Take your own bike to NZ"
3601696,64,"Take your own bike to NZ"
3601761,70,"Take your own bike to NZ"
3601765,74,"Take your own bike to NZ"
3601788,81,"Take your own bike to NZ"
3601831,79,"Take your own bike to NZ"
3601856,70,"Take your own bike to NZ"
3601857,86,"Take your own bike to NZ"
3601875,70,"Take your own bike to NZ"
3601891,64,"Take your own bike to NZ"
3601896,59,"Take your own bike to NZ"
3601908,69,"Take your own bike to NZ"
3601915,68,"Take your own bike to NZ"
3601917,67,"Take your own bike to NZ"
3601951,69,"Take your own bike to NZ"
3601959,74,"Take your own bike to NZ"
3601978,71,"Take your own bike to NZ"
3602060,68,"Take your own bike to NZ"
3602157,71,"Take your own bike to NZ"
3602310,73,"Take your own bike to NZ"
3602320,73,"Take your own bike to NZ"
3602345,78,"Take your own bike to NZ"
3602393,81,"Take your own bike to NZ"
3602429,68,"Take your own bike to NZ"
3602481,66,"Take your own bike to NZ"
3602495,72,"Take your own bike to NZ"
3602470,64,"Take your own bike to NZ"
3602596,66,"Take your own bike to NZ"
3602675,64,"Take your own bike to NZ"
3602665,72,"Take your own bike to NZ"
3602846,73,"Take your own bike to NZ"
3602960,77,"Take your own bike to NZ"
3602980,62,"Take your own bike to NZ"
3603037,65,"Take your own bike to NZ"
3603112,69,"Take your own bike to NZ"
3603176,79,"Take your own bike to NZ"
3603230,73,"Take your own bike to NZ"
3603254,71,"Take your own bike to NZ"
3603332,71,"Take your own bike to NZ"
3603385,68,"Take your own bike to NZ"
3603527,70,"Take your own bike to NZ"
3603761,70,"Take your own bike to NZ"
3604079,70,"Take your own bike to NZ"
3604090,59,"Take your own bike to NZ"
3604231,60,"Take your own bike to NZ"
3604235,66,"Take your own bike to NZ"
3604252,72,"Take your own bike to NZ"
3604189,60,"Take your own bike to NZ"
3604287,58,"Take your own bike to NZ"
3604352,56,"Take your own bike to NZ"
3604362,64,"Take your own bike to NZ"
3604372,56,"Take your own bike to NZ"
3604397,64,"Take your own bike to NZ"
3604446,80,"Take your own bike to NZ"
3604490,84,"Take your own bike to NZ"
3604529,73,"Take your own bike to NZ"
3604534,74,"Take your own bike to NZ"
3604544,62,"Take your own bike to NZ"
3604528,76,"Take your own bike to NZ"
3604578,65,"Take your own bike to NZ"
3604602,62,"Take your own bike to NZ"
3604729,72,"Take your own bike to NZ"
3604766,61,"Take your own bike to NZ"
3604777,69,"Take your own bike to NZ"
3604779,68,"Take your own bike to NZ"
3604926,63,"Take your own bike to NZ"
3604934,63,"Take your own bike to NZ"
3604938,86,"Take your own bike to NZ"
3604952,70,"Take your own bike to NZ"
3604963,78,"Take your own bike to NZ"
3605015,68,"Take your own bike to NZ"
3605054,83,"Take your own bike to NZ"
3605019,91,"Take your own bike to NZ"
3605111,71,"Take your own bike to NZ"
3605128,77,"Take your own bike to NZ"
3605145,69,"Take your own bike to NZ"
3605153,78,"Take your own bike to NZ"
3605154,72,"Take your own bike to NZ"
3605160,66,"Take your own bike to NZ"
3605335,53,"Take your own bike to NZ"
3605376,100,"Take your own bike to NZ"
3605447,90,"Take your own bike to NZ"
3605501,88,"Take your own bike to NZ"
3605989,129,"Take your own bike to NZ"
3606044,71,"Take your own bike to NZ"
3606208,57,"Take your own bike to NZ"
3606779,71,"Take your own bike to NZ"
3606842,71,"Take your own bike to NZ"
3610092,86,"Take your own bike to NZ"
3610072,69,"Take your own bike to NZ"
3610145,61,"Take your own bike to NZ"
3609829,77,"Take your own bike to NZ"
3609835,78,"Take your own bike to NZ"
3609859,84,"Take your own bike to NZ"
3609919,82,"Take your own bike to NZ"
3609920,82,"Take your own bike to NZ"
3609930,81,"Take your own bike to NZ"
3609948,68,"Take your own bike to NZ"
3610009,68,"Take your own bike to NZ"
3610010,54,"Take your own bike to NZ"
3610037,66,"Take your own bike to NZ"
3610040,75,"Take your own bike to NZ"
3610061,84,"Take your own bike to NZ"
3610062,78,"Take your own bike to NZ"
3610183,60,"Take your own bike to NZ"
3610453,67,"Take your own bike to NZ"
3610469,62,"Take your own bike to NZ"
3610479,63,"Take your own bike to NZ"
3610490,77,"Take your own bike to NZ"
3610520,73,"Take your own bike to NZ"
3610533,62,"Take your own bike to NZ"
3610547,81,"Take your own bike to NZ"
3610574,63,"Take your own bike to NZ"
3610593,72,"Take your own bike to NZ"
3610597,71,"Take your own bike to NZ"
3610705,83,"Take your own bike to NZ"
3610752,85,"Take your own bike to NZ"
3610780,75,"Take your own bike to NZ"
3610760,73,"Take your own bike to NZ"
3610838,70,"Take your own bike to NZ"
3610854,62,"Take your own bike to NZ"
3610880,80,"Take your own bike to NZ"
3610882,64,"Take your own bike to NZ"
3610883,71,"Take your own bike to NZ"
3610900,80,"Take your own bike to NZ"
3610912,90,"Take your own bike to NZ"
3610967,66,"Take your own bike to NZ"
3611076,67,"Take your own bike to NZ"
3611105,69,"Take your own bike to NZ"
3611185,59,"Take your own bike to NZ"
3611221,109,"Take your own bike to NZ"
3611222,66,"Take your own bike to NZ"
3611476,66,"Take your own bike to NZ"
3611530,75,"Take your own bike to NZ"
3611632,54,"Take your own bike to NZ"
3611635,58,"Take your own bike to NZ"
3611790,56,"Take your own bike to NZ"
3611889,57,"Take your own bike to NZ"
3611902,65,"Take your own bike to NZ"
3611927,64,"Take your own bike to NZ"
3612048,56,"Take your own bike to NZ"
3612079,62,"Take your own bike to NZ"
3617221,67,"Take your own bike to NZ"
3617179,76,"Take your own bike to NZ"
3617328,152,"Take your own bike to NZ"
3617380,78,"Take your own bike to NZ"
3618506,74,"Take your own bike to NZ"
3618604,74,"Take your own bike to NZ"
3618709,54,"Take your own bike to NZ"
3618973,64,"Take your own bike to NZ"
3619085,74,"Take your own bike to NZ"
3619174,85,"Take your own bike to NZ"
3619288,83,"Take your own bike to NZ"
3619371,79,"Take your own bike to NZ"
3619644,85,"Take your own bike to NZ"
3619754,71,"Take your own bike to NZ"
3619756,83,"Hire a bike in NZ"
3619729,82,"Hire a bike in NZ"
3619813,89,"Hire a bike in NZ"
3619825,81,"Hire a bike in NZ"
3619827,74,"Hire a bike in NZ"
3619841,80,"Hire a bike in NZ"
3619847,90,"Hire a bike in NZ"
3619863,70,"Hire a bike in NZ"
3619864,63,"Hire a bike in NZ"
3619865,64,"Hire a bike in NZ"
3619876,66,"Hire a bike in NZ"
3619880,81,"Hire a bike in NZ"
3619882,67,"Hire a bike in NZ"
3619632,79,"Hire a bike in NZ"
3619677,77,"Hire a bike in NZ"
3619683,92,"Hire a bike in NZ"
3619699,87,"Hire a bike in NZ"
3619701,82,"Hire a bike in NZ"
3619762,57,"Hire a bike in NZ"
3619770,100,"Hire a bike in NZ"
3619773,56,"Hire a bike in NZ"
3619776,88,"Hire a bike in NZ"
3619785,82,"Hire a bike in NZ"
3619796,77,"Hire a bike in NZ"
3619914,65,"Hire a bike in NZ"
3619371,80,"Hire a bike in NZ"
3619373,72,"Hire a bike in NZ"
3619399,76,"Hire a bike in NZ"
3619411,79,"Hire a bike in NZ"
3619415,87,"Hire a bike in NZ"
3619426,66,"Hire a bike in NZ"
3619335,95,"Hire a bike in NZ"
3619440,111,"Hire a bike in NZ"
3619443,68,"Hire a bike in NZ"
3619451,90,"Hire a bike in NZ"
3619452,81,"Hire a bike in NZ"
3619463,98,"Hire a bike in NZ"
3619468,83,"Hire a bike in NZ"
3619493,62,"Hire a bike in NZ"
3619496,80,"Hire a bike in NZ"
3619535,74,"Hire a bike in NZ"
3619567,66,"Hire a bike in NZ"
3619577,127,"Hire a bike in NZ"
3619579,61,"Hire a bike in NZ"
3619611,79,"Hire a bike in NZ"
3619613,92,"Hire a bike in NZ"
3619338,84,"Hire a bike in NZ"
3619272,62,"Hire a bike in NZ"
3619287,61,"Hire a bike in NZ"
3619302,57,"Hire a bike in NZ"
3619309,66,"Hire a bike in NZ"
3619311,88,"Hire a bike in NZ"
3619143,74,"Hire a bike in NZ"
3619166,58,"Hire a bike in NZ"
3619168,72,"Hire a bike in NZ"
3619173,60,"Hire a bike in NZ"
3619238,72,"Hire a bike in NZ"
3619174,86,"Hire a bike in NZ"
3619176,87,"Hire a bike in NZ"
3619192,81,"Hire a bike in NZ"
3619202,78,"Hire a bike in NZ"
3619220,64,"Hire a bike in NZ"
3619221,95,"Hire a bike in NZ"
3619223,81,"Hire a bike in NZ"
3619096,87,"Hire a bike in NZ"
3618600,96,"Hire a bike in NZ"
3619084,90,"Hire a bike in NZ"
3618727,81,"Hire a bike in NZ"
3618742,97,"Hire a bike in NZ"
3618748,73,"Hire a bike in NZ"
3618788,81,"Hire a bike in NZ"
3618797,91,"Hire a bike in NZ"
3618824,77,"Hire a bike in NZ"
3618839,144,"Hire a bike in NZ"
3618652,82,"Hire a bike in NZ"
3618682,88,"Hire a bike in NZ"
3618698,73,"Hire a bike in NZ"
3618702,103,"Hire a bike in NZ"
3618706,77,"Hire a bike in NZ"
3618865,76,"Hire a bike in NZ"
3618882,71,"Hire a bike in NZ"
3618887,75,"Hire a bike in NZ"
3618896,112,"Hire a bike in NZ"
3618911,98,"Hire a bike in NZ"
3618912,107,"Hire a bike in NZ"
3618917,79,"Hire a bike in NZ"
3618924,150,"Hire a bike in NZ"
3618904,65,"Hire a bike in NZ"
3618933,88,"Hire a bike in NZ"
3618940,87,"Hire a bike in NZ"
3619014,59,"Hire a bike in NZ"
3619033,71,"Hire a bike in NZ"
3618611,63,"Hire a bike in NZ"
3618415,77,"Hire a bike in NZ"
3618572,100,"Hire a bike in NZ"
3618573,55,"Hire a bike in NZ"
3618577,59,"Hire a bike in NZ"
3618587,68,"Hire a bike in NZ"
3618511,93,"Hire a bike in NZ"
3618539,67,"Hire a bike in NZ"
3618542,91,"Hire a bike in NZ"
3618402,90,"Hire a bike in NZ"
3618356,66,"Hire a bike in NZ"
3618370,123,"Hire a bike in NZ"
3618381,71,"Hire a bike in NZ"
3618385,73,"Hire a bike in NZ"
3618390,88,"Hire a bike in NZ"
3618392,76,"Hire a bike in NZ"
3618393,93,"Hire a bike in NZ"
3618428,129,"Hire a bike in NZ"
3617381,79,"Hire a bike in NZ"
3617215,63,"Hire a bike in NZ"
3617327,82,"Hire a bike in NZ"
3617353,86,"Hire a bike in NZ"
3617368,79,"Hire a bike in NZ"
3617334,90,"Hire a bike in NZ"
3617336,61,"Hire a bike in NZ"
3617186,70,"Hire a bike in NZ"
3617319,60,"Hire a bike in NZ"
3617412,93,"Hire a bike in NZ"
3617413,90,"Hire a bike in NZ"
3617469,72,"Hire a bike in NZ"
3617547,98,"Hire a bike in NZ"
3617569,79,"Hire a bike in NZ"
3617580,91,"Hire a bike in NZ"
3617747,83,"Hire a bike in NZ"
3617758,62,"Hire a bike in NZ"
3617891,102,"Hire a bike in NZ"
3618047,76,"Hire a bike in NZ"
3618085,64,"Hire a bike in NZ"
3618097,76,"Hire a bike in NZ"
3618116,62,"Hire a bike in NZ"
3618120,77,"Hire a bike in NZ"
3618148,81,"Hire a bike in NZ"
3618151,69,"Hire a bike in NZ"
3618176,85,"Hire a bike in NZ"
3618180,104,"Hire a bike in NZ"
3618182,71,"Hire a bike in NZ"
3618188,61,"Hire a bike in NZ"
3618189,107,"Hire a bike in NZ"
3618197,68,"Hire a bike in NZ"
3618201,81,"Hire a bike in NZ"
3618207,122,"Hire a bike in NZ"
3618213,88,"Hire a bike in NZ"
3618214,141,"Hire a bike in NZ"
3618128,101,"Hire a bike in NZ"
3618222,84,"Hire a bike in NZ"
3618236,95,"Hire a bike in NZ"
3618247,77,"Hire a bike in NZ"
3618249,63,"Hire a bike in NZ"
3618255,89,"Hire a bike in NZ"
3618262,87,"Hire a bike in NZ"
3618269,99,"Hire a bike in NZ"
3618310,91,"Hire a bike in NZ"
3618317,83,"Hire a bike in NZ"
3617221,68,"Hire a bike in NZ"
3617223,100,"Hire a bike in NZ"
3612089,74,"Hire a bike in NZ"
3617174,107,"Hire a bike in NZ"
3617227,81,"Hire a bike in NZ"
3617243,76,"Hire a bike in NZ"
3617250,104,"Hire a bike in NZ"
3617257,80,"Hire a bike in NZ"
3617291,89,"Hire a bike in NZ"
3617299,97,"Hire a bike in NZ"
3617300,85,"Hire a bike in NZ"
3617309,90,"Hire a bike in NZ"
3611756,58,"Hire a bike in NZ"
3611909,59,"Hire a bike in NZ"
3611912,75,"Hire a bike in NZ"
3611831,57,"Hire a bike in NZ"
3611863,62,"Hire a bike in NZ"
3611664,66,"Hire a bike in NZ"
3611561,53,"Hire a bike in NZ"
3611627,60,"Hire a bike in NZ"
3611272,91,"Hire a bike in NZ"
3611300,60,"Hire a bike in NZ"
3611317,60,"Hire a bike in NZ"
3611328,58,"Hire a bike in NZ"
3611433,63,"Hire a bike in NZ"
3611102,96,"Hire a bike in NZ"
3611460,76,"Hire a bike in NZ"
3611203,61,"Hire a bike in NZ"
3611232,64,"Hire a bike in NZ"
3611197,77,"Hire a bike in NZ"
3611081,73,"Hire a bike in NZ"
3611039,67,"Hire a bike in NZ"
3611059,67,"Hire a bike in NZ"
3610952,72,"Hire a bike in NZ"
3610923,84,"Hire a bike in NZ"
3610984,53,"Hire a bike in NZ"
3610990,97,"Hire a bike in NZ"
3610991,74,"Hire a bike in NZ"
3611009,76,"Hire a bike in NZ"
3611016,72,"Hire a bike in NZ"
3611031,67,"Hire a bike in NZ"
3610900,81,"Hire a bike in NZ"
3610701,79,"Hire a bike in NZ"
3610901,93,"Hire a bike in NZ"
3610880,81,"Hire a bike in NZ"
3610839,92,"Hire a bike in NZ"
3610801,75,"Hire a bike in NZ"
3610806,84,"Hire a bike in NZ"
3610817,63,"Hire a bike in NZ"
3610757,73,"Hire a bike in NZ"
3610592,105,"Hire a bike in NZ"
3610682,132,"Hire a bike in NZ"
3610601,71,"Hire a bike in NZ"
3610626,75,"Hire a bike in NZ"
3610559,62,"Hire a bike in NZ"
3610547,82,"Hire a bike in NZ"
3610488,97,"Hire a bike in NZ"
3610490,78,"Hire a bike in NZ"
3610479,64,"Hire a bike in NZ"
3610486,80,"Hire a bike in NZ"
3610475,59,"Hire a bike in NZ"
3610469,63,"Hire a bike in NZ"
3610455,80,"Hire a bike in NZ"
3610458,136,"Hire a bike in NZ"
3610463,71,"Hire a bike in NZ"
3610436,70,"Hire a bike in NZ"
3610438,86,"Hire a bike in NZ"
