"SurveyResponseID","AnswerNumber","TravelledWith"
3557475,46,"Other person(s)"
3557555,48,"My husband, wife or partner"
3557394,42,"My husband, wife or partner"
3557399,38,"My husband, wife or partner"
3557556,66,"My husband, wife or partner"
3557403,41,"My husband, wife or partner"
3557477,50,"My husband, wife or partner"
3557408,43,"My husband, wife or partner"
3557408,44,"Child/children aged under 15"
3557484,40,"Other family / relative(s)"
3557419,39,"Other family / relative(s)"
3557571,38,"Child/children aged 15 or older"
3557495,42,"Other person(s)"
3557572,43,"Other family / relative(s)"
3557447,40,"Other family / relative(s)"
3557502,39,"Other family / relative(s)"
3557410,41,"My husband, wife or partner"
3557486,50,"My husband, wife or partner"
3557417,40,"My husband, wife or partner"
3557426,51,"My husband, wife or partner"
3557446,40,"My husband, wife or partner"
3557573,39,"My husband, wife or partner"
3557574,42,"My husband, wife or partner"
3557588,42,"My husband, wife or partner"
3557462,40,"My husband, wife or partner"
3557589,41,"My husband, wife or partner"
3557516,53,"Other person(s)"
3557428,46,"My husband, wife or partner"
3557591,39,"My husband, wife or partner"
3557428,47,"Child/children aged 15 or older"
3557591,40,"Child/children aged under 15"
3557520,49,"Other person(s)"
3557442,44,"Child/children aged under 15"
3557433,49,"Other family / relative(s)"
3557435,42,"Other family / relative(s)"
3557606,42,"Other family / relative(s)"
3557442,45,"Other family / relative(s)"
3557525,47,"My husband, wife or partner"
3557453,49,"Child/children aged under 15"
3557458,39,"Child/children aged under 15"
3557621,60,"Other person(s)"
3557543,57,"Other person(s)"
3557545,41,"Other person(s)"
3557458,40,"Other family / relative(s)"
3557604,52,"My husband, wife or partner"
3557606,41,"My husband, wife or partner"
3557442,43,"My husband, wife or partner"
3557451,41,"My husband, wife or partner"
3557536,39,"My husband, wife or partner"
3557550,44,"Other family / relative(s)"
3557622,44,"My husband, wife or partner"
3557469,41,"Child/children aged 15 or older"
3557460,44,"My husband, wife or partner"
3557467,39,"My husband, wife or partner"
3557623,45,"My husband, wife or partner"
3557476,44,"My husband, wife or partner"
3557624,39,"My husband, wife or partner"
3557478,52,"My husband, wife or partner"
3557570,45,"Child/children aged under 15"
3557638,38,"Other family / relative(s)"
3557655,46,"Other person(s)"
3557657,40,"Other person(s)"
3557503,43,"Other person(s)"
3557671,48,"Other person(s)"
3557570,44,"My husband, wife or partner"
3557641,37,"My husband, wife or partner"
3557483,44,"My husband, wife or partner"
3557654,39,"My husband, wife or partner"
3557494,39,"My husband, wife or partner"
3557577,64,"My husband, wife or partner"
3557584,41,"My husband, wife or partner"
3557672,40,"Other person(s)"
3557586,43,"Other family / relative(s)"
3557673,40,"Other person(s)"
3557508,43,"Other person(s)"
3557674,48,"Other family / relative(s)"
3557593,41,"Other family / relative(s)"
3557586,42,"My husband, wife or partner"
3557510,44,"My husband, wife or partner"
3557600,52,"My husband, wife or partner"
3557688,37,"Other family / relative(s)"
3557690,49,"My husband, wife or partner"
3557519,41,"My husband, wife or partner"
3557526,39,"My husband, wife or partner"
3557704,37,"Child/children aged under 15"
3557510,45,"Child/children aged 15 or older"
3557689,41,"Other person(s)"
3557691,47,"Child/children aged 15 or older"
3557704,38,"Child/children aged 15 or older"
3557704,39,"Other person(s)"
3557611,37,"Other person(s)"
3557533,40,"My husband, wife or partner"
3557535,43,"My husband, wife or partner"
3557465,47,"My husband, wife or partner"
3557620,46,"My husband, wife or partner"
3557544,38,"My husband, wife or partner"
3557706,38,"My husband, wife or partner"
3557533,41,"Child/children aged under 15"
3557707,39,"Child/children aged under 15"
3557625,47,"My husband, wife or partner"
3557627,52,"My husband, wife or partner"
3557708,37,"My husband, wife or partner"
3557634,40,"My husband, wife or partner"
3557560,39,"My husband, wife or partner"
3557721,42,"My husband, wife or partner"
3557643,44,"My husband, wife or partner"
3557578,38,"My husband, wife or partner"
3557645,43,"My husband, wife or partner"
3557722,44,"My husband, wife or partner"
3557576,43,"Child/children aged under 15"
3557463,54,"Other person(s)"
3557464,40,"Child/children aged 15 or older"
3557479,58,"Other person(s)"
3557553,61,"Other person(s)"
3557558,58,"Other person(s)"
3557636,42,"Other person(s)"
3557587,40,"My husband, wife or partner"
3557724,54,"My husband, wife or partner"
3557592,45,"My husband, wife or partner"
3557652,53,"My husband, wife or partner"
3557587,41,"Child/children aged under 15"
3557594,37,"Child/children aged under 15"
3557603,43,"Child/children aged under 15"
3557661,39,"Child/children aged under 15"
3557608,40,"Child/children aged under 15"
3557739,45,"My husband, wife or partner"
3557603,42,"My husband, wife or partner"
3557661,38,"My husband, wife or partner"
3557608,39,"My husband, wife or partner"
3557670,39,"My husband, wife or partner"
3557610,51,"My husband, wife or partner"
3557585,40,"Other person(s)"
3557652,54,"Child/children aged 15 or older"
3557601,39,"Other family / relative(s)"
3557659,49,"Other family / relative(s)"
3557661,40,"Other family / relative(s)"
3557741,39,"Other family / relative(s)"
3557617,50,"My husband, wife or partner"
3557626,49,"My husband, wife or partner"
3557684,40,"My husband, wife or partner"
3557756,39,"Child/children aged under 15"
3557633,40,"My husband, wife or partner"
3557758,39,"My husband, wife or partner"
3557684,41,"Child/children aged under 15"
3557771,39,"Child/children aged under 15"
3557771,38,"My husband, wife or partner"
3557755,46,"Other family / relative(s)"
3557675,38,"Other family / relative(s)"
3557686,38,"Other person(s)"
3557482,48,"Other family / relative(s)"
3557637,37,"Other family / relative(s)"
3557771,40,"Child/children aged 15 or older"
3557772,38,"My husband, wife or partner"
3557497,42,"My husband, wife or partner"
3557651,40,"My husband, wife or partner"
3557653,47,"My husband, wife or partner"
3557660,41,"My husband, wife or partner"
3557700,39,"My husband, wife or partner"
3557774,40,"My husband, wife or partner"
3557662,38,"My husband, wife or partner"
3557709,46,"My husband, wife or partner"
3557788,38,"My husband, wife or partner"
3557669,48,"My husband, wife or partner"
3557496,40,"Other family / relative(s)"
3557497,43,"Child/children aged under 15"
3557773,38,"Child/children aged under 15"
3557660,42,"Child/children aged under 15"
3557772,39,"Child/children aged 15 or older"
3557772,40,"Other person(s)"
3557693,39,"Other family / relative(s)"
3557774,41,"Child/children aged 15 or older"
3557775,41,"Other person(s)"
3557718,43,"Other person(s)"
3557720,47,"My husband, wife or partner"
3557676,40,"My husband, wife or partner"
3557790,56,"My husband, wife or partner"
3557725,39,"My husband, wife or partner"
3557678,56,"My husband, wife or partner"
3557685,41,"My husband, wife or partner"
3557791,42,"My husband, wife or partner"
3557676,41,"Child/children aged under 15"
3557791,43,"Child/children aged under 15"
3557685,42,"Child/children aged under 15"
3557687,48,"Child/children aged under 15"
3557498,42,"My husband, wife or partner"
3557806,41,"My husband, wife or partner"
3557499,42,"My husband, wife or partner"
3557687,47,"My husband, wife or partner"
3557512,50,"My husband, wife or partner"
3557807,44,"My husband, wife or partner"
3557789,38,"Other family / relative(s)"
3557513,38,"My husband, wife or partner"
3557676,42,"Other family / relative(s)"
3557791,44,"Other family / relative(s)"
3557805,40,"Other person(s)"
3557710,40,"Other person(s)"
3557808,39,"My husband, wife or partner"
3557701,38,"My husband, wife or partner"
3557703,40,"My husband, wife or partner"
3557823,42,"Child/children aged under 15"
3557515,54,"Other person(s)"
3557821,50,"My husband, wife or partner"
3557514,47,"My husband, wife or partner"
3557712,39,"My husband, wife or partner"
3557727,57,"My husband, wife or partner"
3557823,41,"My husband, wife or partner"
3557719,49,"Other family / relative(s)"
3557726,37,"Other person(s)"
3557729,52,"My husband, wife or partner"
3557736,38,"Other person(s)"
3557532,41,"Child/children aged 15 or older"
3557824,45,"My husband, wife or partner"
3557734,44,"My husband, wife or partner"
3557529,46,"My husband, wife or partner"
3557838,39,"My husband, wife or partner"
3557743,62,"My husband, wife or partner"
3557532,40,"My husband, wife or partner"
3557546,43,"My husband, wife or partner"
3557737,47,"My husband, wife or partner"
3557750,47,"My husband, wife or partner"
3557735,38,"Other person(s)"
3557745,45,"Other person(s)"
3557742,49,"My husband, wife or partner"
3557744,50,"My husband, wife or partner"
3557760,40,"My husband, wife or partner"
3557750,48,"Child/children aged under 15"
3557754,41,"Child/children aged under 15"
3557547,39,"Child/children aged under 15"
3557777,39,"Child/children aged under 15"
3557759,39,"Other family / relative(s)"
3557548,48,"My husband, wife or partner"
3557549,49,"My husband, wife or partner"
3557761,41,"Other family / relative(s)"
3557770,39,"My husband, wife or partner"
3557777,38,"My husband, wife or partner"
3557784,42,"My husband, wife or partner"
3557564,45,"My husband, wife or partner"
3557792,39,"My husband, wife or partner"
3557768,42,"Child/children aged 15 or older"
3557768,43,"Other person(s)"
3557777,40,"Child/children aged 15 or older"
3557785,40,"Child/children aged 15 or older"
3557779,44,"Other person(s)"
3557564,46,"Child/children aged 15 or older"
3557786,61,"My husband, wife or partner"
3557793,39,"My husband, wife or partner"
3557566,41,"My husband, wife or partner"
3557579,75,"My husband, wife or partner"
3557566,42,"Child/children aged under 15"
3557810,38,"Child/children aged under 15"
3557802,38,"My husband, wife or partner"
3557840,42,"My husband, wife or partner"
3557794,37,"Other person(s)"
3557801,38,"Other person(s)"
3557803,40,"Other person(s)"
3557812,41,"Other person(s)"
3557802,39,"Other person(s)"
3557817,38,"Child/children aged 15 or older"
3557855,37,"My husband, wife or partner"
3557580,41,"My husband, wife or partner"
3557826,44,"My husband, wife or partner"
3557828,41,"My husband, wife or partner"
3557582,40,"My husband, wife or partner"
3557817,39,"Other family / relative(s)"
3557804,40,"Other person(s)"
3557819,38,"Child/children aged 15 or older"
3557809,38,"Child/children aged 15 or older"
3557809,39,"Other family / relative(s)"
3557582,41,"Child/children aged 15 or older"
3557835,40,"Child/children aged 15 or older"
3557837,49,"Other person(s)"
3557856,44,"My husband, wife or partner"
3557837,48,"My husband, wife or partner"
3557857,37,"My husband, wife or partner"
3557596,40,"My husband, wife or partner"
3557842,47,"My husband, wife or partner"
3557597,38,"My husband, wife or partner"
3557856,45,"Child/children aged under 15"
3557596,41,"Child/children aged under 15"
3557818,39,"Child/children aged under 15"
3557842,48,"Other family / relative(s)"
3557598,45,"Child/children aged under 15"
3557598,46,"Child/children aged 15 or older"
3557820,44,"Child/children aged under 15"
3557598,47,"Other family / relative(s)"
3557820,45,"Child/children aged 15 or older"
3557818,38,"My husband, wife or partner"
3557598,44,"My husband, wife or partner"
3557820,43,"My husband, wife or partner"
3557599,51,"My husband, wife or partner"
3557827,49,"My husband, wife or partner"
3557616,37,"My husband, wife or partner"
3557629,48,"My husband, wife or partner"
3557875,41,"My husband, wife or partner"
3557888,40,"My husband, wife or partner"
3557843,49,"My husband, wife or partner"
3557851,42,"My husband, wife or partner"
3557631,53,"My husband, wife or partner"
3557647,42,"Child/children aged under 15"
3557858,44,"Other person(s)"
3557829,40,"Other family / relative(s)"
3557629,49,"Other person(s)"
3557851,43,"Other family / relative(s)"
3557852,40,"Other family / relative(s)"
3557647,43,"Child/children aged 15 or older"
3557647,41,"My husband, wife or partner"
3557869,53,"My husband, wife or partner"
3557854,38,"My husband, wife or partner"
3557859,52,"My husband, wife or partner"
3557876,39,"My husband, wife or partner"
3557878,41,"My husband, wife or partner"
3557649,42,"My husband, wife or partner"
3557888,41,"Other family / relative(s)"
3557889,58,"Other person(s)"
3557879,40,"Other family / relative(s)"
3557896,43,"Other family / relative(s)"
3557890,48,"Other person(s)"
3557887,40,"My husband, wife or partner"
3557868,39,"My husband, wife or partner"
3557894,45,"My husband, wife or partner"
3557894,46,"Child/children aged under 15"
3557649,43,"Other family / relative(s)"
3557886,53,"Other family / relative(s)"
3557891,47,"Other family / relative(s)"
3557905,42,"Other person(s)"
3557886,52,"My husband, wife or partner"
3557905,41,"Child/children aged under 15"
3557663,49,"My husband, wife or partner"
3557892,42,"My husband, wife or partner"
3557905,40,"My husband, wife or partner"
3557895,39,"My husband, wife or partner"
3557904,40,"My husband, wife or partner"
3557906,38,"My husband, wife or partner"
3557901,39,"My husband, wife or partner"
3557907,39,"My husband, wife or partner"
3557903,39,"Child/children aged under 15"
3557923,38,"My husband, wife or partner"
3557906,39,"Child/children aged 15 or older"
3557908,41,"Other family / relative(s)"
3557903,40,"Child/children aged 15 or older"
3557903,41,"Other person(s)"
3557922,40,"Other family / relative(s)"
3557911,41,"Other family / relative(s)"
3557927,37,"Other person(s)"
3557929,49,"Other person(s)"
3557910,51,"My husband, wife or partner"
3557924,40,"My husband, wife or partner"
3557912,40,"My husband, wife or partner"
3557925,44,"My husband, wife or partner"
3557929,48,"My husband, wife or partner"
3557921,39,"My husband, wife or partner"
3557938,39,"Child/children aged 15 or older"
3557939,38,"Child/children aged under 15"
3557936,38,"Other family / relative(s)"
3557938,38,"My husband, wife or partner"
3557934,38,"My husband, wife or partner"
3557664,44,"My husband, wife or partner"
3557940,39,"My husband, wife or partner"
3557945,58,"My husband, wife or partner"
3557941,63,"My husband, wife or partner"
3557955,42,"Other person(s)"
3557954,38,"Other person(s)"
3557959,50,"Other person(s)"
3557679,39,"Child/children aged under 15"
3557679,38,"My husband, wife or partner"
3557952,43,"My husband, wife or partner"
3557942,43,"My husband, wife or partner"
3557956,46,"My husband, wife or partner"
3557681,39,"My husband, wife or partner"
3557683,40,"My husband, wife or partner"
3557961,39,"Other family / relative(s)"
3557928,44,"Other person(s)"
3557935,41,"Other family / relative(s)"
3557970,49,"Child/children aged 15 or older"
3557977,41,"Other family / relative(s)"
3557961,38,"My husband, wife or partner"
3557696,43,"My husband, wife or partner"
3557963,40,"My husband, wife or partner"
3557697,50,"My husband, wife or partner"
3557968,43,"My husband, wife or partner"
3557699,56,"My husband, wife or partner"
3557713,45,"My husband, wife or partner"
3557984,65,"My husband, wife or partner"
3557986,38,"My husband, wife or partner"
3557715,37,"My husband, wife or partner"
3557951,38,"My husband, wife or partner"
3557716,39,"My husband, wife or partner"
3557988,70,"My husband, wife or partner"
3557993,40,"My husband, wife or partner"
3557732,40,"My husband, wife or partner"
3557733,52,"My husband, wife or partner"
3557962,49,"My husband, wife or partner"
3557944,39,"Other family / relative(s)"
3557730,54,"Other family / relative(s)"
3557953,43,"Other person(s)"
3557731,39,"Other family / relative(s)"
3557960,42,"Other family / relative(s)"
3557995,39,"Other family / relative(s)"
3557971,42,"Child/children aged under 15"
3558009,39,"Child/children aged under 15"
3557746,45,"Other person(s)"
3558002,41,"Other person(s)"
3557969,44,"Other person(s)"
3557957,40,"Other person(s)"
3557976,41,"Other person(s)"
3558009,40,"Other family / relative(s)"
3557971,41,"My husband, wife or partner"
3558004,42,"My husband, wife or partner"
3557958,39,"My husband, wife or partner"
3557978,39,"My husband, wife or partner"
3557985,53,"My husband, wife or partner"
3558011,40,"My husband, wife or partner"
3557987,38,"My husband, wife or partner"
3557748,49,"My husband, wife or partner"
3557958,40,"Child/children aged 15 or older"
3557978,40,"Child/children aged 15 or older"
3558018,41,"My husband, wife or partner"
3558009,41,"Other person(s)"
3558020,37,"My husband, wife or partner"
3557763,38,"My husband, wife or partner"
3557958,41,"Other family / relative(s)"
3558027,38,"My husband, wife or partner"
3557994,40,"Child/children aged 15 or older"
3557996,39,"Child/children aged 15 or older"
3558001,39,"Other family / relative(s)"
3557972,40,"Child/children aged 15 or older"
3558036,39,"Child/children aged 15 or older"
3558003,41,"Other person(s)"
3558038,42,"Other person(s)"
3558010,42,"Other family / relative(s)"
3557975,41,"Other family / relative(s)"
3557766,40,"Other person(s)"
3557780,40,"Other family / relative(s)"
3557764,38,"My husband, wife or partner"
3557974,41,"Child/children aged under 15"
3557766,39,"Child/children aged under 15"
3557974,40,"My husband, wife or partner"
3557989,42,"My husband, wife or partner"
3557766,38,"My husband, wife or partner"
3558012,54,"My husband, wife or partner"
3558019,40,"My husband, wife or partner"
3557991,43,"Other person(s)"
3557796,42,"Other person(s)"
3557799,37,"Other person(s)"
3558043,47,"Other person(s)"
3557991,42,"My husband, wife or partner"
3557782,44,"My husband, wife or partner"
3557783,40,"My husband, wife or partner"
3558021,49,"My husband, wife or partner"
3558035,46,"My husband, wife or partner"
3558006,53,"My husband, wife or partner"
3557814,38,"My husband, wife or partner"
3558044,53,"My husband, wife or partner"
3557815,38,"My husband, wife or partner"
3558045,42,"My husband, wife or partner"
3558045,43,"Child/children aged 15 or older"
3558061,44,"Child/children aged 15 or older"
3558053,39,"Other family / relative(s)"
3558046,47,"My husband, wife or partner"
3557816,39,"My husband, wife or partner"
3557830,44,"My husband, wife or partner"
3558061,43,"My husband, wife or partner"
3558007,40,"My husband, wife or partner"
3558053,38,"Child/children aged under 15"
3558063,44,"My husband, wife or partner"
3558068,38,"My husband, wife or partner"
3558023,48,"My husband, wife or partner"
3558069,39,"My husband, wife or partner"
3558071,44,"My husband, wife or partner"
3558088,54,"My husband, wife or partner"
3558076,86,"My husband, wife or partner"
3558060,40,"Other family / relative(s)"
3558086,40,"Other person(s)"
3557831,48,"Child/children aged 15 or older"
3558093,46,"Other person(s)"
3558025,51,"Other family / relative(s)"
3557847,45,"Other family / relative(s)"
3557848,55,"Other family / relative(s)"
3557833,40,"My husband, wife or partner"
3557847,44,"My husband, wife or partner"
3558041,37,"My husband, wife or partner"
3558320,50,"My husband, wife or partner"
3558056,39,"Other person(s)"
3558042,38,"My husband, wife or partner"
3557850,38,"Other family / relative(s)"
3557850,39,"Other person(s)"
3558057,44,"Other person(s)"
3557849,45,"My husband, wife or partner"
3557864,43,"Child/children aged 15 or older"
3558055,40,"Child/children aged under 15"
3557865,45,"Child/children aged under 15"
3557864,44,"Other family / relative(s)"
3558072,62,"Other person(s)"
3557865,46,"Other person(s)"
3558055,39,"My husband, wife or partner"
3558322,46,"My husband, wife or partner"
3557863,44,"My husband, wife or partner"
3558080,48,"My husband, wife or partner"
3558059,38,"My husband, wife or partner"
3557865,44,"My husband, wife or partner"
3558085,40,"My husband, wife or partner"
3557866,52,"Other person(s)"
3558073,73,"Other person(s)"
3558087,42,"Other person(s)"
3558329,41,"Other family / relative(s)"
3558338,44,"Other person(s)"
3558094,40,"Child/children aged under 15"
3557882,38,"Child/children aged under 15"
3557881,38,"My husband, wife or partner"
3558096,45,"My husband, wife or partner"
3557883,49,"My husband, wife or partner"
3558096,46,"Child/children aged under 15"
3558096,47,"Other family / relative(s)"
3557897,41,"Other family / relative(s)"
3558319,54,"Other person(s)"
3557898,43,"Other person(s)"
3557899,40,"Child/children aged 15 or older"
3558347,48,"My husband, wife or partner"
3557898,42,"My husband, wife or partner"
3558321,39,"My husband, wife or partner"
3558090,38,"Child/children aged under 15"
3557914,40,"Other family / relative(s)"
3558352,52,"My husband, wife or partner"
3558074,37,"My husband, wife or partner"
3558354,37,"My husband, wife or partner"
3557913,53,"My husband, wife or partner"
3558089,37,"My husband, wife or partner"
3558090,37,"My husband, wife or partner"
3558323,38,"Other person(s)"
3557917,43,"Other family / relative(s)"
3558372,48,"Other family / relative(s)"
3558377,43,"Other family / relative(s)"
3557933,46,"Other person(s)"
3557915,39,"Child/children aged under 15"
3557917,42,"Child/children aged under 15"
3557915,38,"My husband, wife or partner"
3558363,39,"My husband, wife or partner"
3557917,41,"My husband, wife or partner"
3557930,42,"My husband, wife or partner"
3558377,42,"My husband, wife or partner"
3558386,42,"My husband, wife or partner"
3557948,38,"My husband, wife or partner"
3558388,43,"My husband, wife or partner"
3558344,53,"My husband, wife or partner"
3557950,62,"My husband, wife or partner"
3558395,38,"My husband, wife or partner"
3558353,44,"My husband, wife or partner"
3558335,46,"Other family / relative(s)"
3557947,47,"Other person(s)"
3558339,39,"Other person(s)"
3557964,43,"Child/children aged 15 or older"
3557964,44,"Other family / relative(s)"
3557965,38,"Other family / relative(s)"
3558402,39,"My husband, wife or partner"
3558404,44,"My husband, wife or partner"
3557966,40,"My husband, wife or partner"
3557966,41,"Child/children aged under 15"
3558413,40,"My husband, wife or partner"
3558364,42,"My husband, wife or partner"
3558369,41,"My husband, wife or partner"
3558427,60,"My husband, wife or partner"
3558355,38,"Other person(s)"
3558360,38,"Child/children aged 15 or older"
3557967,47,"Other person(s)"
3558420,69,"Other person(s)"
3558364,43,"Other family / relative(s)"
3558422,41,"Other person(s)"
3557982,42,"My husband, wife or partner"
3558436,41,"My husband, wife or partner"
3557998,48,"My husband, wife or partner"
3558454,39,"My husband, wife or partner"
3558389,39,"My husband, wife or partner"
3558456,45,"My husband, wife or partner"
3558427,61,"Other person(s)"
3558429,39,"Other family / relative(s)"
3557983,49,"Other person(s)"
3558387,42,"Other family / relative(s)"
3558324,40,"Other person(s)"
3558394,41,"Other person(s)"
3558461,52,"My husband, wife or partner"
3558403,40,"My husband, wife or partner"
3558340,40,"My husband, wife or partner"
3558472,45,"My husband, wife or partner"
3558000,52,"My husband, wife or partner"
3558414,42,"My husband, wife or partner"
3558325,40,"Other person(s)"
3558403,41,"Other family / relative(s)"
3558326,45,"Other person(s)"
3558470,45,"Other family / relative(s)"
3558412,41,"Child/children aged 15 or older"
3558000,53,"Child/children aged under 15"
3558341,37,"Other person(s)"
3558342,38,"My husband, wife or partner"
3558419,49,"My husband, wife or partner"
3558343,42,"My husband, wife or partner"
3558437,41,"My husband, wife or partner"
3558414,43,"Other person(s)"
3558014,38,"Other person(s)"
3558015,39,"Child/children aged 15 or older"
3558428,46,"Other person(s)"
3558472,46,"Other family / relative(s)"
3558358,45,"Child/children aged under 15"
3558031,44,"Other person(s)"
3558486,46,"My husband, wife or partner"
3558356,50,"Other person(s)"
3558481,64,"Other person(s)"
3558358,46,"Other family / relative(s)"
3558357,41,"My husband, wife or partner"
3558358,44,"My husband, wife or partner"
3558488,38,"My husband, wife or partner"
3558359,46,"My husband, wife or partner"
3558495,44,"My husband, wife or partner"
